"brand","model","referenceNumber","caseSize"
"Rolex","Day-Date","118239","36 MM"
"Rolex","Daytona","16520","Automatic"
"Rolex","Datejust","116201","36 MM"
"Rolex","Datejust Lady","179160","26 MM"
"Rolex","Datejust Lady","179174","26 MM"
"Rolex","Datejust Lady","79174","26 MM"
"Rolex","Datejust","116203","36 MM"
"Rolex","Datejust Lady","179174","Automatic"
"Rolex","Datejust Lady","68238","29 MM"
"Rolex","Datejust Lady","179175","Automatic"
