"brand","model","referenceNumber","caseSize"
"Cartier","Tank Francaise","W51002Q3","27 MM"
"Cartier","Roadster","W62017V3","32.8 MM"
"Cartier","Santos","81036288","30 MM"
"Cartier","Santos Galbee","W20011C4","28.5 MM"
"Cartier","Tortue","W1531851","Manual"
"Cartier","Pasha","W31029M7","35 MM"
"Cartier","Roadster","W62031Y4","44 MM"
"Cartier","Santos 100","W20073X8","41.3 MM"
"Cartier","Must 21","W10125U2","38.5 MM"
"Cartier","Ronde Solo","W6701004","29.5 MM"
